时间,创意名称,创意ID,计划名称,计划ID,笔记/素材ID,笔记/素材链接,笔记标题,商品名称,spuId,消费,展现量,点击率,视频5s完播率,点击量,店铺新客支付金额,平均点击成本,平均千次展示费用,新客消耗,新客曝光,新客点击,新客点击率,新客平均点击成本,新客平均千次展示费用,直播间直接下单订单量,直播间直接下单订单成本,直播间直接下单金额,直播间直接下单ROI,直播间直接支付订单量,直播间直接支付订单成本,直播间直接支付金额,直播间直接支付ROI,直播间观看次数,直播间观看成本,直播间平均停留时长,直播间新增粉丝数量,直播间5s观看次数,直播间5s观看成本,直播间评论次数,直播间30s观看次数,直播间30s观看成本,商品1日支付订单量,商品1日支付订单成本,商品1日支付金额,商品1日支付ROI,7日总下单订单量,7日总下单订单成本,7日总下单金额,7日总下单ROI,7日总支付订单量,7日总支付订单成本,7日总支付金额,7日总支付ROI,首屏展现,首屏点击,首屏消耗,首屏展现占比,首屏点击占比,首屏消耗占比,7日支付转化率,店铺新客首购及30日复购支付订单量,店铺新客首购及30日复购支付金额,店铺新客首购及30日复购支付ROI
2026-05-17,商品推广_日常销售_20260408_212711,4378119715,三文鱼搜索关键词_复制,186136724,69c3a5ab00000000280097e2,https://www.xiaohongshu.com/explore/69c3a5ab00000000280097e2?xsec_token=WBfSC_n371aK-FHrCOLsf__q5JRo-w40k0Zp0v9zR9CTQ=&xsec_source=pc_wind_export,长期主义的三文鱼，真的没有平替。。。,三文鱼扒智利三文鱼扒轮切三文鱼冷冻三文鱼整条三文鱼顺丰包邮,691ac562a524ee0001b51d7b,0.05,16,6.25%,0.0%,1,0.0,0.05,3.13,0.05,16,1,6.25%,0.05,3.13,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,0,0.0,18.75%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-17,商品推广_日常销售_20260408_212711,4378119716,三文鱼搜索关键词_复制,186136724,69ca9180000000001f0062ef,https://www.xiaohongshu.com/explore/69ca9180000000001f0062ef?xsec_token=WB1qhXfPDTLqfSPf2C3hmRFRrYJr76N76flGVz2vRAOr0=&xsec_source=pc_wind_export,以为300多没多少，结果把整条三文鱼发来了,三文鱼扒智利三文鱼扒轮切三文鱼冷冻三文鱼整条三文鱼顺丰包邮,691ac562a524ee0001b51d7b,0.13,2,50.0%,0.0%,1,0.0,0.13,65.0,0.13,2,1,50.0%,0.13,65.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-17,三文鱼搜索关键词_复制_20260415_085530,4378119717,三文鱼搜索关键词_复制,186136724,69dbb9880000000022025a4f,https://www.xiaohongshu.com/explore/69dbb9880000000022025a4f?xsec_token=WBhc4mf568z6bxMhndg_EIpZQ7ucXbWy6OZVBkOd5Kwes=&xsec_source=pc_wind_export,跟爸妈商量好，推出整条三文鱼了,三文鱼扒智利三文鱼扒轮切三文鱼冷冻三文鱼整条三文鱼顺丰包邮,691ac562a524ee0001b51d7b,0.00,10,0.0%,0.0%,0,0.0,0.0,0.0,0.0,10,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,0,0.0,30.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-17,虾仁搜索_20260417_105306,4406350660,三文鱼爆款购买潜在需求,186737237,69456f51000000001f006a7b,https://www.xiaohongshu.com/explore/69456f51000000001f006a7b?xsec_token=WB3bh0BH5K0kc2Hl-bqScR0Ec40inVmS5JK1W8C8ixc9s=&xsec_source=pc_wind_export,其实，300块能吃一个月的三文鱼😎,三文鱼扒智利三文鱼扒轮切三文鱼冷冻三文鱼整条三文鱼顺丰包邮,691ac562a524ee0001b51d7b,23.63,618,12.62%,0.0%,78,0.0,0.3,38.24,23.63,615,78,12.68%,0.3,38.42,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,212,36,15.31,34.3%,46.15%,64.81%,0.0%,0,0.0,0.0
2026-05-17,商品推广_日常销售_20260512_161921,4716458300,商品推广_日常销售_20260512_161811,193779913,6a016bba0000000008002705,https://www.xiaohongshu.com/explore/6a016bba0000000008002705?xsec_token=WBDKD46_DUTJ9vYh-kCNnexPkSMwKsPRixSlsFfSZjiTg=&xsec_source=pc_wind_export,带饭半年存了八千，同事以为我涨薪了,智利尾端中段整条三文鱼 8斤深海鱼低脂餐囤货一周备菜顺丰包邮,69fab80d64eb410001ece0c0,0.00,1,0.0%,0.0%,0,0.0,0.0,0.0,0.0,1,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-17,商品推广_日常销售_20260512_161921,4716458301,商品推广_日常销售_20260512_161811,193779913,6a009be80000000006037bfd,https://www.xiaohongshu.com/explore/6a009be80000000006037bfd?xsec_token=WBNaW9w9YXZXRGJyPVY3Z-saWLK9NoRLStM4fCWae49pw=&xsec_source=pc_wind_export,谁还去日料店啊，一整条才 300 来块,智利尾端中段整条三文鱼 8斤深海鱼低脂餐囤货一周备菜顺丰包邮,69fab80d64eb410001ece0c0,0.04,3,33.33%,0.0%,1,0.0,0.04,13.33,0.04,3,1,33.33%,0.04,13.33,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-17,商品推广_日常销售_20260512_161921,4716458303,商品推广_日常销售_20260512_161811,193779913,6a01782e0000000007025391,https://www.xiaohongshu.com/explore/6a01782e0000000007025391?xsec_token=WBDKD46_DUTJ9vYh-kCNnexExHBLuQ7LDleqnj86mRbKQ=&xsec_source=pc_wind_export,网友嘴巴太严了，空气炸锅就能做......,智利尾端中段整条三文鱼 8斤深海鱼低脂餐囤货一周备菜顺丰包邮,69fab80d64eb410001ece0c0,0.00,2,0.0%,0.0%,0,0.0,0.0,0.0,0.0,2,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-17,商品推广_日常销售_20260512_161921,4716458304,商品推广_日常销售_20260512_161811,193779913,6a013a8e00000000080273de,https://www.xiaohongshu.com/explore/6a013a8e00000000080273de?xsec_token=WBDKD46_DUTJ9vYh-kCNnexEjyDaOu9QZsgZuREQNQKQs=&xsec_source=pc_wind_export,太绝了！这才是适合普通家庭的深海鱼,智利尾端中段整条三文鱼 8斤深海鱼低脂餐囤货一周备菜顺丰包邮,69fab80d64eb410001ece0c0,0.00,1,0.0%,0.0%,0,0.0,0.0,0.0,0.0,1,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-17,山姆三文鱼_20260514_103048,4739362205,三文鱼,194400456,69dbb9880000000022025a4f,https://www.xiaohongshu.com/explore/69dbb9880000000022025a4f?xsec_token=WBhc4mf568z6bxMhndg_EIpZQ7ucXbWy6OZVBkOd5Kwes=&xsec_source=pc_wind_export,跟爸妈商量好，推出整条三文鱼了,智利尾端中段整条三文鱼 8斤深海鱼低脂餐囤货一周备菜顺丰包邮,69fab80d64eb410001ece0c0,0.26,16,25.0%,0.0%,4,0.0,0.07,16.25,0.26,16,4,25.0%,0.07,16.25,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,1,0.12,18.75%,25.0%,46.15%,0.0%,0,0.0,0.0
2026-05-17,三文鱼_20260516_153605,4769252770,7日虾仁笔记_复制,195192732,6a01813300000000070126cc,https://www.xiaohongshu.com/explore/6a01813300000000070126cc?xsec_token=WBDKD46_DUTJ9vYh-kCNnexOMDUalemQNg9L2wDzZL8nM=&xsec_source=pc_wind_export,69元5袋虾仁，一袋一顿真的很适合减脂期,手剥虾仁 无冰衣无添加 低脂餐一人食 上班带饭 顺丰包邮 5盒装,694baba01d450d00013662f0,0.00,2,0.0%,0.0%,0,0.0,0.0,0.0,0.0,2,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0.0,50.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-17,三文鱼_20260516_153114,4769394573,7日虾仁笔记,195198387,6a019b0b0000000007022ff0,https://www.xiaohongshu.com/explore/6a019b0b0000000007022ff0?xsec_token=WBDKD46_DUTJ9vYh-kCNnexNx0YfQOHmxGrze-UWNqQWM=&xsec_source=pc_wind_export,一个人住后疯狂囤虾仁😭,手剥虾仁 无冰衣无添加 低脂餐一人食 上班带饭 顺丰包邮 5盒装,694baba01d450d00013662f0,0.46,3,33.33%,0.0%,1,0.0,0.46,153.33,0.46,3,1,33.33%,0.46,153.33,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-17,三文鱼_20260516_153605,4769394574,7日虾仁笔记,195198387,69ffd3480000000035032748,https://www.xiaohongshu.com/explore/69ffd3480000000035032748?xsec_token=WBjLY0TzAxpc89nJk3zUBEvBtF_ygP-DOFxqXFYJtmqh0=&xsec_source=pc_wind_export,69囤的虾仁，居然让我开始做饭了😂,手剥虾仁 无冰衣无添加 低脂餐一人食 上班带饭 顺丰包邮 5盒装,694baba01d450d00013662f0,0.00,5,0.0%,0.0%,0,0.0,0.0,0.0,0.0,5,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-17,三文鱼_20260516_153605,4769394576,7日虾仁笔记,195198387,69fdea87000000002003b62d,https://www.xiaohongshu.com/explore/69fdea87000000002003b62d?xsec_token=WBnEJxiOj3esSjVmAffb0KI4tRgBrs_xd6pSxRJDpkqk4=&xsec_source=pc_wind_export,和老爸商量后，推出专为独居姐妹做的小包装,手剥虾仁 无冰衣无添加 低脂餐一人食 上班带饭 顺丰包邮 5盒装,694baba01d450d00013662f0,2.05,29,20.69%,0.0%,6,0.0,0.34,70.69,2.05,29,6,20.69%,0.34,70.69,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6,3,1.26,20.69%,50.0%,61.46%,0.0%,0,0.0,0.0
2026-05-17,三文鱼_20260516_153605,4769394577,7日虾仁笔记,195198387,6a01813300000000070126cc,https://www.xiaohongshu.com/explore/6a01813300000000070126cc?xsec_token=WBDKD46_DUTJ9vYh-kCNnexOMDUalemQNg9L2wDzZL8nM=&xsec_source=pc_wind_export,69元5袋虾仁，一袋一顿真的很适合减脂期,手剥虾仁 无冰衣无添加 低脂餐一人食 上班带饭 顺丰包邮 5盒装,694baba01d450d00013662f0,1.17,35,17.14%,0.0%,6,0.0,0.19,33.43,1.17,35,6,17.14%,0.19,33.43,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5,2,0.14,14.29%,33.33%,11.97%,0.0%,0,0.0,0.0
2026-05-18,商品推广_日常销售_20260408_212547,4300948741,三文鱼搜索关键词,184817496,69456f51000000001f006a7b,https://www.xiaohongshu.com/explore/69456f51000000001f006a7b?xsec_token=WB3bh0BH5K0kc2Hl-bqScR0Ec40inVmS5JK1W8C8ixc9s=&xsec_source=pc_wind_export,其实，300块能吃一个月的三文鱼😎,三文鱼扒智利三文鱼扒轮切三文鱼冷冻三文鱼整条三文鱼顺丰包邮,691ac562a524ee0001b51d7b,0.24,24,12.5%,0.0%,3,0.0,0.08,10.0,0.24,22,3,13.64%,0.08,10.91,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,9,2,0.2,37.5%,66.67%,83.51%,0.0%,0,0.0,0.0
2026-05-18,商品推广_日常销售_20260408_212547,4300948742,三文鱼搜索关键词,184817496,692e4f1e000000001f007cb8,https://www.xiaohongshu.com/explore/692e4f1e000000001f007cb8?xsec_token=WBiGQg1u-W4V8sZsIn-llKe09K1sE-ezo3qmFqx-a6cDo=&xsec_source=pc_wind_export,在小红书上买到了整条三文鱼…,三文鱼扒智利三文鱼扒轮切三文鱼冷冻三文鱼整条三文鱼顺丰包邮,691ac562a524ee0001b51d7b,0.00,1,0.0%,0.0%,0,0.0,0.0,0.0,0.0,1,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-18,商品推广_日常销售_20260408_212711,4300948744,三文鱼搜索关键词,184817496,69c3a5ab00000000280097e2,https://www.xiaohongshu.com/explore/69c3a5ab00000000280097e2?xsec_token=WBfSC_n371aK-FHrCOLsf__q5JRo-w40k0Zp0v9zR9CTQ=&xsec_source=pc_wind_export,长期主义的三文鱼，真的没有平替。。。,三文鱼扒智利三文鱼扒轮切三文鱼冷冻三文鱼整条三文鱼顺丰包邮,691ac562a524ee0001b51d7b,0.24,6,16.67%,0.0%,1,0.0,0.24,40.0,0.24,6,1,16.67%,0.24,40.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,1,0.24,33.33%,100.0%,100.0%,0.0%,0,0.0,0.0
2026-05-18,虾仁,4343932832,虾仁搜索,185525682,69c2acd60000000028008317,https://www.xiaohongshu.com/explore/69c2acd60000000028008317?xsec_token=WBzXHWDou8TL24WFO1UUnRMDBGYfi3xf-4dKjxM3hn9XE=&xsec_source=pc_wind_export,感谢315，让我家无添加虾仁又爆单了,手剥虾仁 无冰衣无添加 低脂餐一人食 上班带饭 顺丰包邮 5盒装,694baba01d450d00013662f0,10.02,266,16.17%,0.0%,43,69.0,0.23,37.67,10.02,266,43,16.17%,0.23,37.67,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,1,10.02,69.0,6.89,1,10.02,69.0,6.89,1,10.02,69.0,6.89,93,23,4.73,34.96%,53.49%,47.15%,2.33%,1,69.0,6.89
2026-05-18,三文鱼搜索关键词计划2_20260412_103855,4343932833,虾仁搜索,185525682,69b91f54000000002800a745,https://www.xiaohongshu.com/explore/69b91f54000000002800a745?xsec_token=WBLvxvEeJzsnTuMSq7iu6mX_3g7dffoK8GGP0dMeGJVKw=&xsec_source=pc_wind_export,和老爹商量后，推出一人食小包装,手剥虾仁 无冰衣无添加 低脂餐一人食 上班带饭 顺丰包邮 5盒装,694baba01d450d00013662f0,0.27,44,22.73%,0.0%,10,0.0,0.03,6.14,0.27,44,10,22.73%,0.03,6.14,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,9,4,0.12,20.45%,40.0%,44.36%,0.0%,0,0.0,0.0
2026-05-18,三文鱼搜索关键词计划2_20260412_103855,4343932834,虾仁搜索,185525682,69c4d7c300000000200387da,https://www.xiaohongshu.com/explore/69c4d7c300000000200387da?xsec_token=WBdSMwRhQgXYB0xSZvioQafvCSrOqsqcxByyPe4y62184=&xsec_source=pc_wind_export,真别低估了100来块的购买力，够吃半个月了,手剥虾仁 无冰衣无添加 低脂餐一人食 上班带饭 顺丰包邮 5盒装,694baba01d450d00013662f0,0.47,50,18.0%,0.0%,9,0.0,0.05,9.4,0.47,50,9,18.0%,0.05,9.4,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,16,3,0.18,32.0%,33.33%,38.46%,0.0%,0,0.0,0.0
2026-05-18,三文鱼搜索关键词计划2_20260412_103855,4343932836,虾仁搜索,185525682,69c353ba000000001e00cbc5,https://www.xiaohongshu.com/explore/69c353ba000000001e00cbc5?xsec_token=WBfSC_n371aK-FHrCOLsf__tK2mgz-fW902ywsMrT6rRE=&xsec_source=pc_wind_export,同事总说我天天吃虾仁也太奢侈了……,手剥虾仁 无冰衣无添加 低脂餐一人食 上班带饭 顺丰包邮 5盒装,694baba01d450d00013662f0,0.07,25,20.0%,0.0%,5,0.0,0.01,2.8,0.07,25,5,20.0%,0.01,2.8,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,13,3,0.05,52.0%,60.0%,72.97%,0.0%,0,0.0,0.0
