时间,笔记/素材ID,笔记/素材链接,笔记标题,消费,展现量,点击率,视频5s完播率,点击量,店铺新客支付金额,平均点击成本,平均千次展示费用,新客消耗,新客曝光,新客点击,新客点击率,新客平均点击成本,新客平均千次展示费用,直播间直接下单订单量,直播间直接下单订单成本,直播间直接下单金额,直播间直接下单ROI,直播间直接支付订单量,直播间直接支付订单成本,直播间直接支付金额,直播间直接支付ROI,直播间观看次数,直播间观看成本,直播间平均停留时长,直播间新增粉丝数量,直播间5s观看次数,直播间5s观看成本,直播间评论次数,直播间30s观看次数,直播间30s观看成本,商品1日支付订单量,商品1日支付订单成本,商品1日支付金额,商品1日支付ROI,7日总下单订单量,7日总下单订单成本,7日总下单金额,7日总下单ROI,7日总支付订单量,7日总支付订单成本,7日总支付金额,7日总支付ROI,首屏展现,首屏点击,首屏消耗,首屏展现占比,首屏点击占比,首屏消耗占比,7日支付转化率,店铺新客首购及30日复购支付订单量,店铺新客首购及30日复购支付金额,店铺新客首购及30日复购支付ROI
2026-05-17,69fdea87000000002003b62d,https://www.xiaohongshu.com/explore/69fdea87000000002003b62d?xsec_token=WBnEJxiOj3esSjVmAffb0KI4tRgBrs_xd6pSxRJDpkqk4=&xsec_source=pc_wind_export,和老爸商量后，推出专为独居姐妹做的小包装,2.05,29,20.69%,0.0%,6,0.0,0.34,70.69,2.05,29,6,20.69%,0.34,70.69,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6,3,1.26,20.69%,50.0%,61.46%,0.0%,0,0.0,0.0
2026-05-17,69ffd3480000000035032748,https://www.xiaohongshu.com/explore/69ffd3480000000035032748?xsec_token=WBjLY0TzAxpc89nJk3zUBEvBtF_ygP-DOFxqXFYJtmqh0=&xsec_source=pc_wind_export,69囤的虾仁，居然让我开始做饭了😂,0.00,5,0.0%,0.0%,0,0.0,0.0,0.0,0.0,5,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-17,6a009be80000000006037bfd,https://www.xiaohongshu.com/explore/6a009be80000000006037bfd?xsec_token=WBNaW9w9YXZXRGJyPVY3Z-saWLK9NoRLStM4fCWae49pw=&xsec_source=pc_wind_export,谁还去日料店啊，一整条才 300 来块,0.04,3,33.33%,0.0%,1,0.0,0.04,13.33,0.04,3,1,33.33%,0.04,13.33,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-17,6a013a8e00000000080273de,https://www.xiaohongshu.com/explore/6a013a8e00000000080273de?xsec_token=WBDKD46_DUTJ9vYh-kCNnexEjyDaOu9QZsgZuREQNQKQs=&xsec_source=pc_wind_export,太绝了！这才是适合普通家庭的深海鱼,0.00,1,0.0%,0.0%,0,0.0,0.0,0.0,0.0,1,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-17,6a016bba0000000008002705,https://www.xiaohongshu.com/explore/6a016bba0000000008002705?xsec_token=WBDKD46_DUTJ9vYh-kCNnexPkSMwKsPRixSlsFfSZjiTg=&xsec_source=pc_wind_export,带饭半年存了八千，同事以为我涨薪了,0.00,1,0.0%,0.0%,0,0.0,0.0,0.0,0.0,1,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-17,6a01782e0000000007025391,https://www.xiaohongshu.com/explore/6a01782e0000000007025391?xsec_token=WBDKD46_DUTJ9vYh-kCNnexExHBLuQ7LDleqnj86mRbKQ=&xsec_source=pc_wind_export,网友嘴巴太严了，空气炸锅就能做......,0.00,2,0.0%,0.0%,0,0.0,0.0,0.0,0.0,2,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-17,6a01813300000000070126cc,https://www.xiaohongshu.com/explore/6a01813300000000070126cc?xsec_token=WBDKD46_DUTJ9vYh-kCNnexOMDUalemQNg9L2wDzZL8nM=&xsec_source=pc_wind_export,69元5袋虾仁，一袋一顿真的很适合减脂期,1.17,37,16.22%,0.0%,6,0.0,0.19,31.62,1.17,37,6,16.22%,0.19,31.62,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6,2,0.14,16.22%,33.33%,11.97%,0.0%,0,0.0,0.0
2026-05-17,6a019b0b0000000007022ff0,https://www.xiaohongshu.com/explore/6a019b0b0000000007022ff0?xsec_token=WBDKD46_DUTJ9vYh-kCNnexNx0YfQOHmxGrze-UWNqQWM=&xsec_source=pc_wind_export,一个人住后疯狂囤虾仁😭,0.46,3,33.33%,0.0%,1,0.0,0.46,153.33,0.46,3,1,33.33%,0.46,153.33,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-18,692e4f1e000000001f007cb8,https://www.xiaohongshu.com/explore/692e4f1e000000001f007cb8?xsec_token=WBiGQg1u-W4V8sZsIn-llKe09K1sE-ezo3qmFqx-a6cDo=&xsec_source=pc_wind_export,在小红书上买到了整条三文鱼…,0.08,7,14.29%,0.0%,1,0.0,0.08,11.43,0.08,7,1,14.29%,0.08,11.43,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,1,0.08,28.57%,100.0%,100.0%,0.0%,0,0.0,0.0
2026-05-18,69456f51000000001f006a7b,https://www.xiaohongshu.com/explore/69456f51000000001f006a7b?xsec_token=WB3bh0BH5K0kc2Hl-bqScR0Ec40inVmS5JK1W8C8ixc9s=&xsec_source=pc_wind_export,其实，300块能吃一个月的三文鱼😎,9.22,622,12.86%,0.0%,80,68.0,0.12,14.82,9.22,619,80,12.92%,0.12,14.89,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,1,9.22,68.0,7.38,1,9.22,68.0,7.38,1,9.22,68.0,7.38,197,36,5.31,31.67%,45.0%,57.55%,1.25%,1,68.0,7.38
2026-05-18,69b52200000000001f004cb6,https://www.xiaohongshu.com/explore/69b52200000000001f004cb6?xsec_token=WBL2_iYIGO6UEcDQe1uUQwb6xmxHp0BPJSoFdUuOke76E=&xsec_source=pc_wind_export,说一个撑死人但热量很低的东西,0.00,2,0.0%,0.0%,0,0.0,0.0,0.0,0.0,2,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-18,69b91f54000000002800a745,https://www.xiaohongshu.com/explore/69b91f54000000002800a745?xsec_token=WBLvxvEeJzsnTuMSq7iu6mX_3g7dffoK8GGP0dMeGJVKw=&xsec_source=pc_wind_export,和老爹商量后，推出一人食小包装,0.27,44,22.73%,0.0%,10,0.0,0.03,6.14,0.27,44,10,22.73%,0.03,6.14,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,9,4,0.12,20.45%,40.0%,44.36%,0.0%,0,0.0,0.0
2026-05-18,69c2acd60000000028008317,https://www.xiaohongshu.com/explore/69c2acd60000000028008317?xsec_token=WBzXHWDou8TL24WFO1UUnRMDBGYfi3xf-4dKjxM3hn9XE=&xsec_source=pc_wind_export,感谢315，让我家无添加虾仁又爆单了,10.02,266,16.17%,0.0%,43,69.0,0.23,37.67,10.02,266,43,16.17%,0.23,37.67,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,1,10.02,69.0,6.89,1,10.02,69.0,6.89,1,10.02,69.0,6.89,93,23,4.73,34.96%,53.49%,47.15%,2.33%,1,69.0,6.89
2026-05-18,69c353ba000000001e00cbc5,https://www.xiaohongshu.com/explore/69c353ba000000001e00cbc5?xsec_token=WBfSC_n371aK-FHrCOLsf__tK2mgz-fW902ywsMrT6rRE=&xsec_source=pc_wind_export,同事总说我天天吃虾仁也太奢侈了……,0.07,25,20.0%,0.0%,5,0.0,0.01,2.8,0.07,25,5,20.0%,0.01,2.8,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,13,3,0.05,52.0%,60.0%,72.97%,0.0%,0,0.0,0.0
2026-05-18,69c3a5ab00000000280097e2,https://www.xiaohongshu.com/explore/69c3a5ab00000000280097e2?xsec_token=WBfSC_n371aK-FHrCOLsf__q5JRo-w40k0Zp0v9zR9CTQ=&xsec_source=pc_wind_export,长期主义的三文鱼，真的没有平替。。。,0.43,11,27.27%,0.0%,3,0.0,0.14,39.09,0.43,11,3,27.27%,0.14,39.09,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,2,0.34,36.36%,66.67%,79.01%,0.0%,0,0.0,0.0
2026-05-18,69c4d7c300000000200387da,https://www.xiaohongshu.com/explore/69c4d7c300000000200387da?xsec_token=WBdSMwRhQgXYB0xSZvioQafvCSrOqsqcxByyPe4y62184=&xsec_source=pc_wind_export,真别低估了100来块的购买力，够吃半个月了,0.47,50,18.0%,0.0%,9,0.0,0.05,9.4,0.47,50,9,18.0%,0.05,9.4,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,16,3,0.18,32.0%,33.33%,38.46%,0.0%,0,0.0,0.0
2026-05-18,69ca9180000000001f0062ef,https://www.xiaohongshu.com/explore/69ca9180000000001f0062ef?xsec_token=WB1qhXfPDTLqfSPf2C3hmRFRrYJr76N76flGVz2vRAOr0=&xsec_source=pc_wind_export,以为300多没多少，结果把整条三文鱼发来了,0.00,4,0.0%,0.0%,0,0.0,0.0,0.0,0.0,4,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0.0,25.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-18,69dbb9880000000022025a4f,https://www.xiaohongshu.com/explore/69dbb9880000000022025a4f?xsec_token=WBhc4mf568z6bxMhndg_EIpZQ7ucXbWy6OZVBkOd5Kwes=&xsec_source=pc_wind_export,跟爸妈商量好，推出整条三文鱼了,0.04,21,4.76%,0.0%,1,0.0,0.04,1.9,0.04,21,1,4.76%,0.04,1.9,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0,0.0,9.52%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-18,69fdea87000000002003b62d,https://www.xiaohongshu.com/explore/69fdea87000000002003b62d?xsec_token=WBnEJxiOj3esSjVmAffb0KI4tRgBrs_xd6pSxRJDpkqk4=&xsec_source=pc_wind_export,和老爸商量后，推出专为独居姐妹做的小包装,6.60,150,20.0%,0.0%,30,0.0,0.22,44.0,6.6,148,30,20.27%,0.22,44.59,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,36,12,2.28,24.0%,40.0%,34.48%,0.0%,0,0.0,0.0
2026-05-18,69ffd3480000000035032748,https://www.xiaohongshu.com/explore/69ffd3480000000035032748?xsec_token=WBjLY0TzAxpc89nJk3zUBEvBtF_ygP-DOFxqXFYJtmqh0=&xsec_source=pc_wind_export,69囤的虾仁，居然让我开始做饭了😂,1.91,13,23.08%,0.0%,3,0.0,0.64,146.92,1.91,12,3,25.0%,0.64,159.17,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,1,0.07,23.08%,33.33%,3.66%,0.0%,0,0.0,0.0
2026-05-18,6a009be80000000006037bfd,https://www.xiaohongshu.com/explore/6a009be80000000006037bfd?xsec_token=WBNaW9w9YXZXRGJyPVY3Z-saWLK9NoRLStM4fCWae49pw=&xsec_source=pc_wind_export,谁还去日料店啊，一整条才 300 来块,0.00,5,0.0%,0.0%,0,0.0,0.0,0.0,0.0,5,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0.0,20.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-18,6a016bba0000000008002705,https://www.xiaohongshu.com/explore/6a016bba0000000008002705?xsec_token=WBDKD46_DUTJ9vYh-kCNnexPkSMwKsPRixSlsFfSZjiTg=&xsec_source=pc_wind_export,带饭半年存了八千，同事以为我涨薪了,0.00,2,0.0%,0.0%,0,0.0,0.0,0.0,0.0,2,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0.0,50.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-18,6a01782e0000000007025391,https://www.xiaohongshu.com/explore/6a01782e0000000007025391?xsec_token=WBDKD46_DUTJ9vYh-kCNnexExHBLuQ7LDleqnj86mRbKQ=&xsec_source=pc_wind_export,网友嘴巴太严了，空气炸锅就能做......,0.00,1,0.0%,0.0%,0,0.0,0.0,0.0,0.0,1,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-18,6a01813300000000070126cc,https://www.xiaohongshu.com/explore/6a01813300000000070126cc?xsec_token=WBDKD46_DUTJ9vYh-kCNnexOMDUalemQNg9L2wDzZL8nM=&xsec_source=pc_wind_export,69元5袋虾仁，一袋一顿真的很适合减脂期,6.47,82,21.95%,0.0%,18,69.0,0.36,78.9,6.47,81,18,22.22%,0.36,79.88,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,1,6.47,69.0,10.66,1,6.47,69.0,10.66,15,4,0.68,18.29%,22.22%,10.53%,5.56%,1,69.0,10.66
2026-05-18,6a019b0b0000000007022ff0,https://www.xiaohongshu.com/explore/6a019b0b0000000007022ff0?xsec_token=WBDKD46_DUTJ9vYh-kCNnexNx0YfQOHmxGrze-UWNqQWM=&xsec_source=pc_wind_export,一个人住后疯狂囤虾仁😭,0.00,2,0.0%,0.0%,0,0.0,0.0,0.0,0.0,2,0,0.0%,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-19,692e4f1e000000001f007cb8,https://www.xiaohongshu.com/explore/692e4f1e000000001f007cb8?xsec_token=WBiGQg1u-W4V8sZsIn-llKe09K1sE-ezo3qmFqx-a6cDo=&xsec_source=pc_wind_export,在小红书上买到了整条三文鱼…,0.01,4,25.0%,0.0%,1,0.0,0.01,2.5,0.01,4,1,25.0%,0.01,2.5,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0.0,25.0%,0.0%,0.0%,0.0%,0,0.0,0.0
2026-05-19,69456f51000000001f006a7b,https://www.xiaohongshu.com/explore/69456f51000000001f006a7b?xsec_token=WB3bh0BH5K0kc2Hl-bqScR0Ec40inVmS5JK1W8C8ixc9s=&xsec_source=pc_wind_export,其实，300块能吃一个月的三文鱼😎,51.73,579,15.72%,0.0%,91,368.0,0.57,89.34,51.73,573,91,15.88%,0.57,90.28,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,1,51.73,368.0,7.11,1,51.73,368.0,7.11,1,51.73,368.0,7.11,189,38,13.61,32.64%,41.76%,26.32%,1.1%,1,368.0,7.11
2026-05-19,69b91f54000000002800a745,https://www.xiaohongshu.com/explore/69b91f54000000002800a745?xsec_token=WBLvxvEeJzsnTuMSq7iu6mX_3g7dffoK8GGP0dMeGJVKw=&xsec_source=pc_wind_export,和老爹商量后，推出一人食小包装,2.04,29,20.69%,0.0%,6,0.0,0.34,70.34,2.04,29,6,20.69%,0.34,70.34,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,3,0.75,24.14%,50.0%,36.68%,0.0%,0,0.0,0.0
2026-05-19,69c2acd60000000028008317,https://www.xiaohongshu.com/explore/69c2acd60000000028008317?xsec_token=WBzXHWDou8TL24WFO1UUnRMDBGYfi3xf-4dKjxM3hn9XE=&xsec_source=pc_wind_export,感谢315，让我家无添加虾仁又爆单了,9.39,262,14.89%,0.0%,39,0.0,0.24,35.84,9.39,262,39,14.89%,0.24,35.84,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,78,17,6.47,29.77%,43.59%,68.89%,0.0%,0,0.0,0.0
2026-05-19,69c353ba000000001e00cbc5,https://www.xiaohongshu.com/explore/69c353ba000000001e00cbc5?xsec_token=WBfSC_n371aK-FHrCOLsf__tK2mgz-fW902ywsMrT6rRE=&xsec_source=pc_wind_export,同事总说我天天吃虾仁也太奢侈了……,0.72,42,14.29%,0.0%,6,128.0,0.12,17.14,0.72,42,6,14.29%,0.12,17.14,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,1,0.72,128.0,177.78,1,0.72,128.0,177.78,1,0.72,128.0,177.78,16,4,0.44,38.1%,66.67%,61.22%,16.67%,1,128.0,177.78
